preponderance	（数量或力量上的）优势 The preponderance of
sideways	向一旁，向侧面地 adv.[ph]She glanced sideways at him[ph]The car skidded sideways on the icy road[st]He tilted his head sideways to get a better view of the painting.
significant	有意义的；重要的，重大的
significance	意义，含义；重要性
insignificant	无关紧要的, 可忽略的, 无意义的
signify	表示，意味[mean]v. 表示表示、意味、象征、具有重要性等。以下是 "signify" 的使用频率百分比：[st]The red traffic light signifies that ...[st]sth. seemed to signify sth.
silica	硅石，硅土[mean]n. 指的是二氧化硅，是一种无机化合物，化学式为 SiÓ。它是地壳中最常见的化合物之一，常见于许多岩石和矿物中，如石英、石膏等。[ph]be composed of tiny grains of silica.
silicate	[化]硅酸盐[mean]n. 表示硅酸盐，是一种化学化合物，由硅元素和氧元素组成，通常和其他金属元素形成盐类化合物。硅酸盐在地壳中非常常见，构成了大部分岩石和矿物的主要成分之一[ph]The granite rock is composed mainly of silicate minerals, ...
silly	愚蠢的；糊涂的；傻的
silt	淤泥[st]The river's slow-moving water carries silt downstream, depositing it along the riverbanks.[st]The farmer used the rich silt from the floodplain to fertilize the fields.[st]The boat got stuck in the shallow silt near the river's edge
silversmith	银器匠[st]The skilled silversmith crafted an intricate silver teapot with exquisite engravings.
blacksmith	铁匠[st]The blacksmith skillfully forged a horseshoe using a combination of heat and hammering.
simplicity	简单；朴素[st]The beauty of the design lies in its simplicity[st]The speaker's message was delivered with clarity and simplicity[st]He preferred a lifestyle of simplicity
simulate	模拟，模仿
simultaneous	同时的, 同时发生的[mean]adj. 表示同时的、同时发生的，指的是两个或多个事件在同一时间内发生或存在的状态。[ph]~ sth. 同时发生的某事[ph]due to their simultaneous timing.[ph]experiencing a simultaneous connection through the online platform.[ph]causing a power outage and simultaneous flooding in several areas.
sinuous	蜿蜒的，迂回的[mean]adj. 表示蜿蜒的、曲线的、弯曲的，通常用来描述具有流畅弯曲形状的事物，如道路、河流、身体线条等。[ph]a sinuous path[ph]The snake moved with a sinuous motion[ph]The artist's sculpture featured sinuous lines
skeleton	骨架；纲要[mean]n. 表示骨架、骨骼，也可以指事物的基本结构或框架。[ph]the ancient dinosaur skeleton[st]The building's steel skeleton was covered with glass panels[st]The outline of the plan provided a skeleton for the project
skeptical	怀疑的；多疑的[ph]be ~ of[ph]~ remained ~ of[ph]The manager's ~ attitude towards
skepticism	怀疑[ph]sb's ~ drove/lead sb. to do sth.[st]The committee approached the new proposal with a healthy dose of skepticism
sketch	草图；素描 n.[ph]pencil sketch of sth.[ph]quick sketches of everyday scenes[ph]The architect presented a sketch of sth.
skimp	节省，节俭；吝啬[mean]v. 表示节省、吝惜，通常是指在某事物上减少花费、精力或材料，导致质量或数量不足。[ph]~ on sth.
skip	跳 v.
skip class	旷课
skull	头骨
skyrocket	猛涨，突增[mean]v. 表示迅速上升、飞涨，通常用来描述价格、数量、速度等的迅速增加[ph]caused its price to ~[ph]stock value ~
skyscraper	摩天大楼[st]The city's skyline was dominated by impressive skyscrapers
slab	（四边形的厚物质）板，片[mean]n. 表示厚板、块，通常指的是扁平的厚物体，常用于建筑、工程等领域。[ph]create a solid foundation slab for[ph]was made of a beautiful marble slab[ph]cut a thick slab of bread
slander	诽谤 n.[ph]spreading slander about sb's reputation[ph]false slanderv.[ph]~ sb. by doing sth.[ph]~ sb. with false claims.
slash	大量消减[ph]slash its workforce by half
slender	苗条的；纤细的[mean]adj. 表示苗条的、纤细的、修长的，通常用来形容人体或物体的外貌特征。[ph]She had a slender figure[ph]The tower had a slender spire[ph]The model wore a slender dress
slice	薄片；部分，份[mean]名词 "slice" 的使用频率约为 40%。[st]He cut a slice of cake for each guest[ph]slices of watermelon, kiwi, and pineapple.
slide	（使）滑动，（使）滑行 v.[ph]slide down the hill
landslide	[地]山崩[ph]The heavy rainfall caused a landslide
slight	轻微的；微小的，微不足道的
slightly	些微地
slime	黏土；黏液[mean]儿童玩具和手工艺品制作： 60%科学实验和教育： 30%贬义、污名化： 10%[ph]playing with colorful slime.[ph]different types of slime[syn]"Goo" 和 "slime" 都指液体或半固体的黏稠物质，但 "goo" 更广泛地用于描述各种黏稠物，而 "slime" 更常用于指特定类型的黏稠物，通常用于玩耍或者实验。 "Mucus" 是一种体液，存在于生物体内，如鼻涕。 "Goop" 通常指的是粘性的液体，但有时也可用于类似于 "slime" 的情境。
slimy	黏糊糊的；（分泌）黏液的[mean]负面描述：70%生物特征：20%诡计、狡诈：10%[ph]covered in slimy algae[ph]touched the slimy substance[ph]slimy tactics
slip	片，纸片
slip one's mind	忘记[ph]slip one's mind to do sth.[ph]slip one's mind that ...
slipper	拖鞋
slippery	（物体表面）滑的，光滑的
slope	斜坡，斜面[ph]The ski slope 斜坡[ph]The road had a gentle slope 斜坡[st]Be careful not to let your belongings slope off the edge of the table. 滑落[syn]区别： "Slope" 和 "incline" 都指地面或物体的倾斜度，但 "incline" 通常更加正式，而 "slope" 更常用于日常语境。 "Gradient" 也是指斜率，多用于科学或技术上的描述。 "Slant" 强调表面的倾斜，但有时也可以用于形容抽象的观点或意见的倾向。
sloping	倾斜的，有坡度的[ph]The house was built on a sloping hill[ph]The sloping driveway[ph]the sloping coastline
sloth	树懒；怠惰，懒惰[ph]The sloth spends most of its life hanging upside down in trees[ph]sth. were clear signs of his sloth.[ph]indulge in a bit of sloth on the weekends.
slothful	迟钝的，懒惰的[ph]slothful attitude towards[ph]The slothful employee[ph]She spent a slothful afternoon
slow breeding	养育起来很慢的[ph]slow breeding rate[ph]a slow breeding cycle[ph]slow breeding habits,
sluggish	行动迟缓的；不活泼的[ph]a period of sluggish growth[ph]felt sluggish
slum	贫民窟
slumber	睡眠[ph]slumber in their nests.[ph]slumbered in her crib
smart	巧妙的，聪明的
smelting	冶炼[ph]the smelting of iron[ph]Smelting copper[ph]The smelting process[syn]"Smelting" 是指通过加热和化学反应将金属从矿石中提取出来的过程，通常需要高温。 "Melting" 指的是固体物质变为液体的过程，可以发生在不同的温度下。 "Fusion" 也是指物质融合为液体，但更强调融合的过程。 "Metallurgy" 是冶金学的总称，涵盖了金属的提取、加工和使用。
smog	烟雾
smoothly	平稳地；顺利地
smother	使窒息 v.[st]The heavy blanket seemed to smother him in his sleep.[st]The government's attempt to smother free speech
smuggle	走私[ph]smuggle drugs across the border[ph]smuggle a letter out of the prison[ph]The rare artifacts were smuggled out of the country
snap	突然折断[mean]含义1（名词）： 快照；猛咬；突然折断。 （频率：35%）含义2（名词）： 突然爆发；瞬间。 （频率：25%）含义3（动词）： 猛然折断；突然折断；咔嗒声。 （频率：40%）[ph]The rope snapped suddenly
snippet	小片，片段；摘录
snowflake	雪花
flake	薄片 vt. 使成薄片[mean]含义1（名词）： 小薄片；小片状物。 （频率：40%）含义2（名词）： 轻浮的人；不可靠的人。 （频率：20%）含义3（动词）： 使成小薄片；剥落。 （频率：40%）[ph]delicate flakes[ph]be a flake[ph]the paint began to flake off
snug	温暖舒适的[mean]含义1（形容词）： 温暖舒适的；紧密贴合的。 （频率：50%）含义2（动词）： 使变得温暖舒适；使适合。 （频率：50%）[ph]a snug retreat[ph]feel snug and cozy[ph]snug up security measures
sociable	好交际的，友善的
social distinction	具有明显的社会身分或地位[ph]symbol of social distinction[ph]reduce social distinctions
solar	太阳的
solar cell	太阳能电池
solder	焊接，焊在一起[mean]含义1（动词）： 焊接；用焊料连接。 （频率：40%）含义2（名词）： 焊料；焊接用的金属合金。 （频率：60%）[ph]solder the two metal pieces together[ph]The solder melted smoothly[ph]learned how to solder
soldier	军人，士兵
sole	单独的，惟一的
solely	独自地，单独地
solemn	严肃的；庄严的，隆重的[ph]solemn ceremony[ph]exchange solemn vows
solicit	恳求，乞求 v.[mean]这个词通常指以恳切的方式请求或请求意见、建议、支持或反对。也可能涉及向人征求或寻求帮助、捐款、业务等。[ph]solicit donations[ph]soliciting opinions[ph]solicit customers for personal information[syn]这个词也表示请求或要求，通常指以礼貌的方式请求或要求。与"solicit"的区别在于，"request"更强调礼貌和正式性。
solicitor	律师，法律顾问[syn]这个词也表示律师，通常用于泛指从事法律职业的人。与"solicitor"的区别在于，"lawyer"更通用，而"solicitor"可能在英国等地更常用。
solidarity	团结，团结一致[mean]这个词指的是人们在共同目标、利益或原则下团结在一起的状态或行为。通常指在困难、挑战或不公正情况下，人们通过共同努力和支持来实现共同的目标。[ph]showed remarkable solidarity[ph]demonstrate solidarity[ph]promote global peace and solidarity
solidify	使凝结，使团结，使巩固[mean]使凝固；使变得坚固；使巩固。这个词可以指在物质上使液体变为固体，也可以引申为在抽象方面使想法、计划或关系变得稳定或坚固。[ph]melted chocolate started to solidify[ph]solidify their position[ph]solidify employee morale （增强员工士气）[syn]这个词也表示使变硬、变坚固，通常指物质从液体或软状态转变为固态或坚硬状态。与"solidify"的区别在于，"harden"更强调变得硬和坚固。
solitary	孤独的；独居的[mean]含义1： 孤独的；独自的。形容一个人或物品与其他人或物品分开、孤立的状态。 （频率：40%）含义2： 独处的；隐居的。指一个人选择或被迫与他人隔离、独自度过时间的状态。 （频率：60%）[ph]solitary hiker （孤独的徒步旅行者）[ph]spending solitary evenings[ph]chose a solitary life[syn]这个词也表示孤独，但它通常强调情感上的孤独和无助，可能有一种更深层次的情感内涵。
solitude	孤独；独处 n.[ph]peaceful solitude of the mountains[ph]moments of solitude by the lake[ph]seek solitude
solo	独奏曲
soloist	独奏者，独唱者 n.[ph]featured soloist[ph]renowned soloist
soluble	可溶的，可溶解的[mean]可溶解的；可溶于某种液体的。指物质可以在液体中完全溶解，形成一个均匀的混合物。 （频率：40%）[ph]sugar is soluble in water[ph]soluble vitamins[ph]instant coffee crystals quickly become soluble
solution	解答，解决
somewhat	稍微，有点 adv.[ph]is ~ adj.
soothe	使（某人情绪）平静，安慰；使（痛苦，疼痛）缓和或减轻[ph]soothe her crying baby[ph]soothe the mind
sophisticated	(事物)复杂的；(人)久经事故的
unsophisticated	不懂世故的, 单纯的[mean]不复杂的；朴素的；不精致的。这个词用来形容人、事物或想法缺乏复杂性、高级或精致性。通常指的是简单、直接或不经过加工的状态。[ph]The unsophisticated design 朴素[ph]Her writing style is refreshingly unsophisticated 朴素[ph]The village's unsophisticated way of life 朴实
sophistication	老练；精致复杂[mean]复杂性；精致；老练。这个词通常指事物的复杂性、精致性或高级性质，也可以指人的老练、见识或高级的品味。在不同上下文中，可以表示技术、思想、文化等方面的提升。[ph]The restaurant's sophistication 精致[ph]The sophistication of modern technology 复杂[ph]Her artistic work displayed a level of sophistication 精致
sort	种类，分类
sour	酸的
souvenir	纪念品[ph]as a souvenir[ph]distributed small keychains as souvenirs
sovereign	君主；统治
sow	播种 v.[mean]含义1： 播种；播撒。这个词指将种子散布在土地上，以便生长和产生作物。也可以用于引申意义，表示播撒思想、感情等。 （频率：20%）含义2： 激起；引发。这个词可以指引发或激起某种情感、行动或后果。也可以表示在人们之间播下某种情绪或影响。 （频率：10%）[ph]The farmers will sow the fields[ph]She carefully sowed the flower seeds along the garden rows激起 v.[ph]sow discord among the team members[ph]sow the seeds of inspiration
soybean	大豆
bean	豆子
soy	大豆
spaceship	宇宙飞船
space shuttle	航天飞机
spacious	广大的，宽敞的[mean]宽敞的；广阔的。这个词用来描述空间宽广，有足够的空间容纳人或物。通常用来形容房间、地方或环境。[ph]spacious meeting rooms/house/areas
span	跨度；一段时间[ph]The span of the bridge/career
spangle	（使）闪烁[n.]闪烁的小装饰物；小亮片。指小小的闪光装饰物，常用于衣物、饰品或装饰品上，以增添视觉效果。 （频率：5%）[ph]was adorned with silver spangles[v.] 闪耀；闪烁。指光线反射或反射出微小而明亮的光，通常用于描述亮片或类似的东西。 （频率：10%）[ph]The sequined dress spangled in the spotlight[ph]The night sky was spangled with stars,
spanking	强烈的，疾行的 [adj.]爽快的；活泼的；迅速的。这个词用来形容某事物具有活力、迅猛、有趣或令人愉快。通常用来描述积极的、快速的事物或行为。 [ph]had a spanking good time[ph]She gave a spanking performance on the stage[n.]打屁股[ph]In the past, spankings were sometimes used as a form of discipline for misbehaving children[v.]拍打[ph]The horse trainer was spanking the horse's flank gently[st]He was spanking the dust off the old rug
wingspan	[空]翼展[ph]The wingspan of an albatross[ph]The engineer calculated the optimal wingspan for the new drone design
spare	多余的，备用的[ph]keep a spare tire
sparingly	节俭地，保守地 adv.[mean]节俭地；保守地。这个副词用来描述行为的方式，指以节俭、保守的方式进行某事，尽量避免浪费或过度使用。[st]She uses her phone's battery sparingly[st]The artist sparingly added touches of color to the painting
sparrow	麻雀
spark	火花，火星[ph]The unexpected discovery sparked a wave of excitement
sparse	稀少的；稀疏的
sparsely	稀疏地，稀少地
spawn	产卵，大量生育动词含义： 产卵；引发；导致。作为动词，指动物产卵或孵化出幼崽；引发或导致某种事件、现象或情况。 （频率：15%）名词含义： 鱼卵；大量产生物。作为名词，指鱼类的卵或大量产生的生物。也可以引申为大量产生的事物。 （频率：5%）[ph]The river was teeming with fish spawn
specialized	专业的，专门的[ph]specialized doctors[ph]pursue a specialized degree[ph]offers specialized training programs
species	类群，种类
subspecies	[生]亚种
specify	明确说明；具体指定
specified	特定的
specific	具体的，特指的
specification	规格，详细说明书[ph]The engineer provided a detailed specification for[ph]discuss the specifications for the new app[ph]The job advertisement listed the specifications
specimen	标本，样品[mean]样本；标本。这个词用来指代用于研究、检验或展示的典型或代表性的事物或物体。在生物学中，常指植物、动物或微生物的标本。也可以用于描述展览、检验等场合。 （频率：10%）[ph]a rare specimen[ph]prepared the specimen slides[ph]received a specimen of soil
speck	斑点[mean]小斑点；微小颗粒。这个词用来指非常小的斑点、颗粒或痕迹，通常是可以看到但很微小的物体。也可以用来描述微不足道的东西。 （频率：5%）[st]you could see every speck of color on the canvas[st]Even a speck of dust on the camera lens can affect the quality of the photograph,
flyspeck	蝇粪留下的污点, 污点[mean]名词含义： 蒙蔽的地方；蒙蔽性错误。作为名词，指文本、文件或其他材料中的小错误或蒙蔽，可能是由于疏忽或细节问题引起的。也可以用来形容瑕疵或微小的错误。 （频率：较少见）[ph]it had a few flyspecks[ph]a few minor flyspecks动词含义： 搜索错误；找出问题。作为动词，指仔细搜索、查找错误或问题，尤其是那些细小的、容易被忽视的错误。 （频率：较少见）[ph]flyspecked the text[ph]flyspecking the layout of the magazine
spectacle	奇观；展示，景象[mean]奇观；场面；眼镜。作为名词，可以指引人入胜的景象、令人震惊的场面，或者指眼镜这种用于矫正视力的光学工具。 （频率：10%）[ph]a breathtaking spectacle[ph]The concert was a visual and auditory spectacle[st]He put on his reading spectacles and began to peruse the newspaper (正式)眼镜，或老式有框架的眼镜
spectacular	引人入胜的，壮观的[ph]sunset/spectacular stunts/light show
spectacularly	引人入胜地[ph]trick went spectacularly wrong[ph]The concert ended spectacularly
spectator	参观者，观众[mean]观众；旁观者。这个词用来指观看活动、比赛、表演等的人，通常是作为旁观者而不是参与者。也可以用来描述旁观事件或情况的人。 （频率：10%）[ph]enthusiastic spectators[ph]The spectators were on their feet[ph]As a spectator of the ongoing debate
spectrum	谱，光谱[mean]光谱；范围；领域。作为名词，可以指光线分解后的不同颜色，也可以引申为范围、区域或一系列不同的事物。在科学和其他领域中，也可以指代一种连续变化的范围或分布。 （频率：10%）[ph]it creates a beautiful spectrum of colors[ph]covered a wide spectrum
spectra	光谱[mean]"Spectra"是"spectrum"的复数形式，通常用来指多种光谱、领域或范围的情况，可以特指一系列不同的事物。[st]The artist used a wide range of colors, creating a painting with vibrant and diverse spectra that captured the viewer's attention.[ph]various spectra of research and innovation
speculate	推测；沉思[mean]这个词用来表示根据有限的信息或证据进行推测或猜测，通常涉及未经证实的想法或假设。也可以表示对未来事件或情况进行思考或预测。[ph]Speculate on/about
speedy	快的，迅速的
sphere	球体
spherical	球的，球状的
hemisphere	半球
chromosphere	色球[mean]色球。这个词通常在天文学中使用，指太阳的外层大气层，位于光球之上。色球呈现出粉红色或橙红色，是太阳大气的重要组成部分。[ph]the solar chromosphere
magnetosphere	磁气圈[mean]磁层；磁气圈。这个词通常在天文学和地球科学中使用，指地球或其他行星周围的磁场区域，它可以保护行星免受太阳风和宇宙射线的影响。磁层的形状和范围受到行星的磁场形状和太阳风的影响。[ph]Earth's magnetosphere[ph]The study of a planet's magnetosphere
lithosphere	[地]岩石圈[mean]岩石圈。这个词通常在地球科学中使用，指地球的外部壳层，包括地壳和上部地幔，是固体地球的最外层。岩石圈由板块构成，这些板块在地球表面上移动并导致地质活动。 （频率：5%）[st]The movement of tectonic plates is responsible for shaping the Earth's lithosphere[st]Geologists study the composition and structure of the Earth's lithosphere
photosphere	光球[mean]光球。这个词通常在天文学中使用，特指太阳的可见表面，是太阳的最外层部分。光球是太阳的光亮外壳，发出大部分可见光和热辐射。[ph]The temperature of the photosphere is around 5,500 degrees Celsius,
hydrosphere	水圈, 水气, 水界[mean]水圈。这个词通常在地球科学中使用，指地球上的水体部分，包括海洋、河流、湖泊、冰川、地下水等。水圈涵盖了地球上所有的水资源，包括液态、固态和气态的水。 （频率：5%）[ph]The health of the Earth's hydrosphere
ionosphere	电离层[mean]电离层。这个词通常在大气物理学中使用，指地球大气中的一个区域，其中的气体分子由于太阳辐射而失去了部分电子，形成了电离状态。电离层对无线电通信和天空中的电离层折射产生重要影响。 （频率：5%）[st]The ionosphere reflects and refracts radio waves
spill	溢出 v.[ph]Be careful not to spill the coffee[st]The children accidentally spilled water on the floor
pill	药丸[mean]药丸；药片。这个词用来指一种用于药物治疗的小而固定剂量的药物形式，通常是圆形的，可以口服。药丸可以是用于治疗疾病、缓解症状或提供营养的药物。 （频率：5%）[st]The doctor prescribed a daily dose of pills[st]She took a couple of pills
spine	脊骨；书脊；刺[st]He injured his spine[st]The title of the book is printed on the spine of the cover[st]The cactus was covered in sharp spines
spinal	脊骨的，脊髓的 adj.[st]The patient underwent spinal surgery[ph]improve spinal flexibility and posture.
spinal cord	脊髓[mean]脊髓。这个词指的是人和动物脊柱内部的神经组织，是一根延伸自脑部的细长神经束，负责传递信息以控制身体的各种功能，如运动、感觉和反应。脊髓通过脊椎骨的管道保护起来。 （频率：5%）[ph]A serious injury to the spinal cord[ph]The spinal cord serves as a pathway for signals between the brain and the rest of the body
spined	有脊骨的，有脊柱的[st]The desert plant had spined leaves to protect itself from herbivores.[st]The spined surface of the hedgehog acts as a defense mechanism against predators
spiny	多刺的，刺状的[mean]有刺的；多刺的。这个词用来描述具有刺状结构的事物，通常是指动植物的特征。形容物体表面覆盖着许多刺或尖锐的突起。 （频率：5%）[ph]spiny stems[st]The spiny texture of the sea urchin's shell provides protection against predators.
spinet	小型立式钢琴[ph]She practiced playing the spinet every afternoon[ph]The antique spinet
spinach	菠菜[ph]fresh spinach leaves[ph]The creamy spinach soup
spinning	旋转的[st]The children enjoyed spinning around in the park[st]The textile factory specializes in spinning high-quality yarn for various types of fabric
spiral	螺旋形的，盘旋的 adj.[ph]spiral design
spiritual	精神上的
splash	溅，泼 v. 溅湿；溅泼。作为动词，表示液体或其他物质突然或猛烈地飞溅或撞击其他表面，通常产生声音和水花。[ph]splashing in the pool[ph]splash hot soup when stirring it in the pot.n.溅湿声；飞溅的液体。作为名词，指由液体撞击表面所产生的声音或水花。[ph]The splash of the waves[ph]there were splashes of mud on the sidewalk
splendor	壮丽，辉煌 n.[ph]royal splendor[ph]The natural splendor of the sunrise
split	劈开，（使）裂开；分开[mean]动词含义： 分裂；劈开。作为动词，表示将物体或组织分成两部分或多部分，或者用力将物体劈开。名词含义： 分裂；分歧。作为名词，指物体或组织的分裂，也可以表示意见或团体的分歧。形容词含义： 分离的；分裂的。作为形容词，用来描述物体或组织分成两部分或多部分的状态。[ph]split the logs into firewood.[ph]The split between sth.[st]The split log was ready to be used as firewood.[ph]The split opinion within the team
spoil	损坏；腐烂[mean]动词含义： 破坏；损害；宠坏。作为动词，有多种含义：破坏： 指对物体、环境或情况造成损害或破坏。宠坏： 指过度纵容、溺爱，导致某人变得难以满足或容忍其他人或情况。掠夺： 指抢夺或掠夺财物。[st]"The heavy rain spoiled the picnic by soaking all the food." （大雨把野餐的食物都淋湿了，损坏了活动。）[st]The fruit was left out for too long and started to spoil.
spoilage	（食物等）变质，损坏 n.[ph]The spoilage of the fruit[ph]prevent food spoilage
unspoiled	未损坏的[mean]未受损害的；未受破坏的。这个词用来形容保持原始状态、未经破坏或损坏的事物。它通常用来描述自然环境、景色、地方等，表示其保持纯净、原始的状态。 （频率：较低）[st]The island has an unspoiled beach with crystal-clear waters and white sand.[st]The remote village is known for its unspoiled natural beauty and untouched landscapes.
squirt	喷出，溅进
stable	稳定的，相对固定的
stability	稳定性
stabilize	使稳定，使坚固
stack	堆积
staff	全体人员或职员
despoiler	掠夺者
sponge	海绵
spontaneous	自发的，自然产生的
spontaneously	自然地, 本能地
spontaneity	自然，自发
spoon	匙，勺子
spot	地点，场所
spotless	没有污点的
spotlight	强调，突出 n. 重点
highlight	使显著，突出
sprawl	散乱地延伸
spring	泉；弹簧
spring up	出现，产生
springtime	春天，春季
springwater	天然泉水
offspring	(单复数同形)子孙, 后代
mainspring	(钟表的)主发条
sprout	长出，萌芽
spur	踢马刺
squarely	坚实的，坚固地
squash	南瓜
squeeze	榨；挤进，塞进
squirrel	松鼠
stagecoach	公共马车
coach	教练
stagger	蹒跚，摇晃
staggering	巨大的，惊人的
stagnant	停滞的, 迟钝的
stain	污点，瑕疵
stained	污染的，玷污的
sustain	支撑；维持，持续
staircase	楼梯
stalk	隐伏跟踪（猎物）
stamina	体力，耐力
stand	站立；忍受，容忍
stand in the way of	挡住...的道路
withstand	抵挡，经受住
standpoint	立场，观点
newsstand	报摊，杂志摊
standard	标准（的）
standardize	使符合标准，使标准化
standardized	标准化的
standing	固定的，常设的
long-standing	长期存在的
outstanding	杰出的，显著的
stanza	（诗）节，段
staple	主要产品，日常必需品
starch	淀粉；淀粉食物
stardom	明星的身份或地位
starfish	海星
stark	光秃秃的；荒凉的
starve	挨饿
starvation	饥饿，饿死
stash	藏或贮存于一秘密处所
stately	庄严的，堂皇的
stationary	固定的；静止的
stationery	文具
statistics	统计学
statue	雕像
stature	身高，身材；声望，地位
status	状况；身份，地位
steadfast	坚定的，坚信的
steady	稳的，牢固的
steak	(供煎, 烤等的)肉, 牛排
steep	险峻的，陡峭的
steer	驾驶，掌舵
stellar	星的，星球的
interstellar	星际的
stem	（植物的）茎
sterile	贫瘠的；不育的
stern	苛刻的，严格的；严厉的
stick	棍，棒；手杖
sticky	粘的，粘性的
matchstick	火柴杆
yardstick	<美> 码尺, 准绳
stickpin	领带夹
stiff	硬的，僵直的
stiffen	使硬，使僵硬
stifle	使窒息；扼杀，抑制
stimulate	刺激，激励，激发
stimulation	激励，鼓舞，刺激
stimulus	刺激；刺激物
stimuli	stimulus复数
stimulant	刺激物，兴奋剂
sting	刺；刺痛
stipend	薪贴；奖学金；养老金
stipulate	约定，规定
stipulation	规定，条款
stitch	缝
stock car racing	专业汽车比赛
stocky	(人或动物)矮而结实的，粗壮的
stonemason	石工，石匠
stout	结实的，勇敢坚定的
strain	过度的疲劳，紧张
constrain	抑制，拘束
constraint	约束，强制
strand	绳、线之一股
strap	带，皮带
strata	地层（复数）
stratum	地层（单数）；阶层
strengthen	加强，巩固
strenuous	费力的；艰辛的
strenuously	奋发地，费力地
stretch	伸展，伸长
stride	大步，一跨步
strike	罢工，打击
striking	醒目的，惊人的
strikingly	醒目地, 引人侧目地
string	（乐器的）弦；细绳，带子
strings	弦乐器
stringent	严厉的
strip	剥夺；剥掉
stripe	斑纹，条纹
strive	努力，奋斗；力求
stroke	（绘画等）一笔；一击
stubborn	顽固的，固执的
stubbornness	倔强，顽强
studio	录音室；艺术家工作室
stumble	绊倒
stunning	令人惊叹的，极好的
stun	使晕倒，打晕；使震惊
stunt	惊人表演，绝技；特技
sturdy	(人)强健的，结实的；(物)稳固的
stylized	风格化的，程式化的
subduct	减去，除去
subject to	服从
subjected	服从的，隶属的
submarine	潜水艇，潜艇
submerge	（使）沉没，淹没
submerged	在水中的，淹没的
submit	服从
subsequent	随后的，后来的
subsequently	随后
subside	平息，减退
subsidiary	支流；子公司
subsidize	补助，资助
subsidy	补助金，津贴
subsist	生存，存在，供养
subsistence	生存；生计；存活
substantial	相当的，可观的
substantially	相当多地，大大地
substantiate	证实，加强
unsubstantiated	未被证实的
substantive	真实的，有实质的
substitute	代替
subterranean	地下的，地表下的
subtle	微妙的，细微的
subtract	减去 ~ from
subtraction	减少
subtractive	减法的；负的
suburb	郊区
suburbanization	近郊化，郊区建造
suburbanite	郊区居民
subversive	颠覆性的，破坏性的
successive	连续的，相继的
succinct	简明的，简洁的
succumb	屈服，屈从
sue	向...请求，请愿
pursue	追赶，追踪；从事
tissue	薄的纱织品；薄纸，棉纸；[生]组织
sufficient	足够的，充足的
insufficient	不足的，不够的
suit	适合，适应
suited	适合的，匹配的
suitable	适当的，相配的
suite	一批，一套，组
lawsuit	诉讼(尤指非刑事案件)
suitcase	手提箱, 衣箱
summit	山顶，顶点
sumptuous	奢侈的，华丽的
sunlight	日光，阳光
sunlit	被日光照射了的, 阳光照射的
sunflower	向日葵
sunrise	日出
sunset	日落
sunburn	晒斑, 晒黑
sundial	(通过太阳知道时间的) 日规, 日晷
sunglasses	太阳镜；墨镜
superb	极好的，超级的
superficial	肤浅的，表面（上）的
superficially	浅薄地
superintendent	主管，负责人
superior	级别或地位更高的；质量或价值更好的
superior to	高于，优于
supernatural	超自然的，神奇的
supervise	监督，指导
supervision	监督，管理
supervisor	主管，管理人
supplant	排挤；取代
supple	柔软的，灵活的；柔顺的
supplement	增补，补充
supplementary	补充的
supplementation	增补，补充
suppose	推想，假设
supposedly	按说，应该i
supposition	假定
suppress	镇压，抑制
supreme	(权力、级别或地位)至高的；最重要的
supremely	无上地，崇高地
supremacy	至高无上的权力
surcharge	增付的费用，附加费
surface	表面（的）
surge	汹涌，澎湃，喷发
surging	汹涌
surgeon	外科医生
surgery	外科；手术室
surmount	克服；登上；越过
insurmountable	不能克服的, 不能超越的
surpass	超越，胜过
surpassingly	卓越地，超群地
surplus	过剩，剩余（物资）
survey	调查
survive	(人)幸免于难,活下来；(物)耐久
survival	生存，幸存
survivor	生还者，残存物
survivability	存活率，生命力
susceptible	易受影响的；敏感的，过敏的
susceptible to	易受...影响
suspect	令人怀疑的，不可信的
suspend	吊，悬挂
suspender	吊裤带
suspense	悬念，情节
suspicious	可疑的；好猜疑的
suspicion	怀疑
sustained	持续不变的
sustenance	食物，生计
swallow	吞下，咽下
swamp	沼泽，湿地
swampy	沼泽的，湿地的
swarm	蜂群，一大群
sway	摇摆，摇动
sweep	席卷，扫过
sweeping	彻底的，广泛的
swell	（使）肿胀、膨胀
swelling	肿胀
swift	迅速的，敏捷的
swiftness	迅速，敏捷
syllable	（语音）音节
symbiosis	共生（关系），共栖
symbiotic	共栖的，共生的
symbol	符号，记号；象征
symbolism	象征主义；符号论
symbology	象征学
symbolize	象征
symmetrical	对称的
symmetry	对称（性），匀称
asymmetrical	不均匀的, 不对称的
sympathy	同情，同情心
sympathize	同情，体谅
sympathetic	有同情心的
symphony	交响乐，交响曲
symptom	症状；征兆
synchronize	同步，同时发生
synonym	同义字
synonymous	同义的
synthesize	综合；合成
synthesizer	[电子]合成器
synthesis	综合, 合成
photosynthesis	光合作用
synthetic	合成的，人造的
syrup	糖浆，果汁
system	系统，体系
systematic	系统的，体系的
systematize	使系统化；将...分类
ecosystem	生态系统
tableland	高原
tactics	战术；策略
tactile	触觉的；可触觉的
tag	给...加标签；添加，附加
taint	污点，瑕疵
take into account	考虑到
talent	才能；天才
talented	有天才的，有才能的
tally	符合，吻合
tame	驯养，驯服
untamed	未驯服的
tap	开发，利用
untapped	未使用的
tapering	尖端细的
tapeworm	[动]绦虫
tapestry	织锦, 挂毯
tardy	迟到的；缓慢的
tardiness	迟到；缓慢
